company,Gross_Margin,Operating_Margin,ROE_Operating,Debt_to_Equity,Debt_to_Assets,Financial_Leverage,Total Revenue,Total Assets,Total Liab,Total Stockholder Equity
AMT,71.28,38.01,63.84,8.6,0.85,9.99,8104700000.0,48233350000.0,41398000000.0,4891550000.0
BAM,20.46,17.27,36.52,6.49,0.64,10.15,67738250000.0,328737250000.0,210892500000.0,32604500000.0
CCI,66.6,28.43,17.26,2.83,0.73,3.83,5828250000.0,37256750000.0,27312000000.0,9944750000.0
SPG,81.47,47.9,85.51,9.69,0.88,10.95,5258317250.0,32620519500.0,28816421250.0,3013745250.0
WY,27.62,18.36,16.4,0.86,0.46,1.86,7940750000.0,16904500000.0,7724250000.0,9180250000.0
